Duration,22 m 5 s
Start Time,Tue Dec 22 15:36:50 IST 2015
End Time,Tue Dec 22 15:59:00 IST 2015
Total Users,10
Total Hits,22200
Total Throughput,852285.55 Kb
Average Hits,16.75 hits/s
Average Throughput/s,643.23 kb/s
Testcases passed,100
Testcases failed,0
Testcases error rate,0
Step passed,2000
Step failed,0
Step error rate,0


Testcase name,User Count,User Percentage,Step name,Request name,Duration detail,Response Code,Success Count,Failure Count,Failure Rate(%),Total Step,Total Request,Average Duration (sec),Standard Deviation Duration (sec),Minimum Duration (sec),Duration 85 Percentile (sec),Duration 90 Percentile (sec),Duration 95 Percentile (sec),Maximum Duration (sec),Average Size (Kb),Standard Deviation Size (Kb),Minimum Size (Kb),Size 85 Percentile (Kb),Size 90 Percentile (Kb),Size 95 Percentile (Kb),Maximum Size (Kb)
"",,,,,Receiving,,100,0,0,,0,0.36,0.2,0,0.34,0.35,0.4,1.6,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/26/small/ror_jr_spaghetti.jpeg?1450727466,,,100,0,0,,100,0.3,0.12,0.26,0.3,0.38,0.42,1.14,2.35,0,2.35,2.35,2.35,2.35,2.35
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0.01,0.05,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.29,0.1,0.25,0.3,0.31,0.41,1.13,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.06,0,0,0.01,0.01,0.56,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/40/small/spree_spaghetti.jpeg?1450727473,,,100,0,0,,100,0.31,0.13,0.26,0.28,0.28,0.29,1.25,0.92,0,0.92,0.92,0.92,0.92,0.92
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.3,0.13,0.25,0.28,0.28,0.28,1.25,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0,0.01,0,0.01,0.01,0.01,0.08,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree_header-198b754a34f1428c25f64303be8ac2aae84a076433af18ca55b65d7cbf1a0e13.jpg,,,100,0,0,,100,1.17,0.28,0.8,1.18,1.4,1.44,2.85,58.8,0,58.8,58.8,58.8,58.8,58.8
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.29,0.05,0.25,0.29,0.3,0.51,0.67,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.88,0.28,0.4,0.89,0.89,1.17,2.55,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/21/small/ror_tote.jpeg?1450727464,,,100,0,0,,100,0.3,0.07,0.26,0.35,0.43,0.57,0.66,4.54,0,4.54,4.54,4.54,4.54,4.54
"",,,,,Sending,,100,0,0,,0,0,0.01,0,0,0,0,0.07,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.29,0.07,0.25,0.35,0.42,0.57,0.66,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0,0,0,0.01,0.01,0.01,0.02,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/34/small/ruby_baseball.png?1450727469,,,100,0,0,,100,0.32,0.16,0.26,0.3,0.31,1.2,1.23,10.48,0,10.48,10.48,10.48,10.48,10.48
"",,,,,Sending,,100,0,0,,0,0,0.02,0,0,0,0,0.16,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.31,0.16,0.25,0.29,0.3,1.2,1.23,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.03,0,0,0,0.01,0.22,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
